,country_name,year,internet_user,GDP_growth,Mobile_subscriptions,population_density,population_total,school_enrollment,time_tostart_business,electricity_consumption
0,Argentina,2005,17.72058337,9.198488983,57.32899426,14.12211613,38647854,113.11118,30,2423.705078
1,Australia,2005,63,3.216467335,89.76286231,2.654777866,20394800,101.51868,7,10458.45019
2,Brazil,2005,21.02274725,3.148900043,46.31418452,22.27079266,186142403,,156,2015.634235
3,China,2005,8.523257003,11.35239142,29.84470593,138.8677661,1303720000,,48,1783.87077
4,France,2005,42.87,1.607715493,78.26189586,115.3786024,63176246,107.67285,7,7655.583081
5,Germany,2005,68.71,0.706561393,94.55486999,236.4646806,82469422,101.52711,22,7138.221485
6,India,2005,2.388075,9.284831507,7.997206759,379.102428,1127143548,,70,476.5240425
7,Indonesia,2005,3.602024763,5.692571304,20.89708826,123.9151129,224480901,109.75272,151,505.6376712
8,Italy,2005,35,0.949620808,121.8642226,197.0812674,57969484,101.44329,13,5731.084306
9,Japan,2005,66.9210661,1.302728139,75.98436507,350.5432099,127773000,101.90896,30,8212.689692
10,"Korea, Rep.",2005,73.5,3.92368744,81.52202954,497.0374497,48138077,101.61736,17,7803.843099
11,Mexico,2005,17.21,3.032573659,42.56115672,56.96228092,110731826,102.26637,30,1853.134798
12,Netherlands,2005,81,2.252460632,97.12774476,483.4084123,16319868,106.38781,9,6987.740342
13,Russian Federation,2005,15.2266732,6.376187027,83.37214422,8.76107113,143518523,95.26032,29,5770.112336
14,Saudi Arabia,2005,12.70503599,7.256017518,57.36794477,11.48540813,24690067,90.01686,67,6380.906135
15,Spain,2005,47.88,3.723042003,98.40193058,87.4654972,43653155,103.37322,70,6111.219223
16,Switzerland,2005,70.1,3.03829565,92.24719407,188.1956324,7437115,102.06556,18,8305.371102
17,Turkey,2005,15.46,8.401617872,64.3740778,88.02028507,67743052,103.76807,6,2018.657205
18,United Kingdom,2005,70,2.806547611,108.5920211,249.6639772,60401206,106.46798,12,6270.984059
19,United States,2005,67.96805292,3.345215888,68.31769507,32.2548766,295516599,99.5522,6,13704.57705
20,Argentina,2006,20.9272021,8.402868566,80.81882641,14.24674442,38988923,114.55408,30,2392.423099
21,Australia,2006,66,2.990667578,94.70140374,2.694232196,20697900,101.78416,6,10490.43623
22,Brazil,2006,28.17838018,3.999324276,53.11025849,22.50911267,188134315,,151,2072.726605
23,China,2006,10.52315262,12.6882251,34.76674887,139.6453429,1311020000,118.76611,35,2041.967323
24,France,2006,46.87,2.374944836,83.53432024,116.1853308,63617975,107.73773,7,7536.156251
25,Germany,2006,72.16,3.710003395,102.2828888,236.2251979,82376451,103.16611,22,7212.437448
26,India,2006,2.805499865,9.263964759,14.52388234,384.5328923,1143289350,,34,519.1004359
27,Indonesia,2006,4.764813134,5.500951785,28.01943927,125.6975005,227709821,108.09195,97,523.0516606
