Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,58.4204,57.6602,56.9,56.3908,55.8816,55.3724,54.8632,54.354,53.8988,..
Argentina,ARG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,8.442570996,7.697516626,8.781106928,7.22788616,6.234805271,8.175131609,7.49246451,6.697421299,7.384589968,8.198653977
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,12.93835616,12.93835616,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.1,99.4,99.4,94.8,97.9,94.97,97.14,98.2,..,..
Argentina,ARG,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.164577003,4.468897615,4.569839912,4.828570099,4.513701165,4.433544977,4.665868631,..,..,..
Argentina,ARG,Contraceptive prevalence (% of women ages 15-49),SP.DYN.CONU.ZS,78.3,..,..,..,..,..,..,..,..,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,31.44710269,24.9396558,22.55463468,19.66499075,22.68934256,23.24638074,24.94366481,29.18858186,32.61808337,35.92363932
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2423.705078,2392.423099,2476.57359,2801.08296,2761.442918,2907.176618,2967.388776,3027.118577,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1732.905817,1868.906612,1870.54347,1958.489425,1888.243601,1950.156615,1962.415604,1952.830471,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.9037141,20.34173038,19.75287933,19.72910192,17.26513592,17.36763756,17.56371621,15.48030963,14.32399611,14.85118769
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.28186E+11,1.19064E+11,1.20989E+11,1.22987E+11,1.27743E+11,1.20791E+11,1.32743E+11,1.33042E+11,1.36272E+11,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.286,2.268,2.254,2.241,2.228,2.215,2.201,2.188,2.175,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,5265250000,5537340000,6473150000,9725560000,4017158925,7845718626,10719930945,15323933917,11300977311,6612041980
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,305990,303592,301194,298796,296398,294000,291602,289204,..,..
